time,ACO,IWO,LBBO,GA,PSO
13.587,0.99689,0.99118,1.0006,0.99398,0.99069
13.627,0.99705,0.99161,1.0007,0.99412,0.99118
13.667,0.9972,0.99205,1.0008,0.99428,0.99169
13.707,0.99734,0.99251,1.0009,0.99444,0.99221
13.747,0.99749,0.99299,1.0009,0.99462,0.99275
13.788,0.99763,0.99348,1.001,0.99481,0.99331
13.828,0.99777,0.99399,1.001,0.99502,0.99387
13.868,0.9979,0.9945,1.0011,0.99523,0.99444
13.908,0.99803,0.99502,1.0011,0.99545,0.99502
13.948,0.99815,0.99554,1.0012,0.99567,0.9956
13.988,0.99828,0.99607,1.0012,0.99591,0.99618
14.028,0.9984,0.99659,1.0012,0.99615,0.99676
14.068,0.99851,0.99712,1.0013,0.9964,0.99733
14.108,0.99863,0.99764,1.0013,0.99665,0.9979
14.148,0.99873,0.99815,1.0013,0.9969,0.99846
14.188,0.99884,0.99866,1.0013,0.99716,0.99901
14.228,0.99894,0.99916,1.0014,0.99742,0.99955
14.269,0.99904,0.99965,1.0014,0.99768,1.0001
14.309,0.99914,1.0001,1.0014,0.99794,1.0006
14.349,0.99923,1.0006,1.0014,0.99819,1.0011
14.389,0.99932,1.001,1.0014,0.99845,1.0015
14.429,0.99941,1.0015,1.0014,0.9987,1.002
14.469,0.99949,1.0019,1.0014,0.99895,1.0024
14.509,0.99957,1.0023,1.0014,0.99919,1.0028
14.549,0.99965,1.0026,1.0014,0.99943,1.0032
14.589,0.99973,1.003,1.0014,0.99966,1.0036
14.629,0.9998,1.0033,1.0014,0.99989,1.0039
14.669,0.99987,1.0036,1.0014,1.0001,1.0042
14.709,0.99993,1.0039,1.0014,1.0003,1.0045
14.749,1,1.0041,1.0014,1.0005,1.0048
14.79,1.0001,1.0044,1.0014,1.0007,1.005
14.83,1.0001,1.0046,1.0014,1.0009,1.0052
14.87,1.0002,1.0048,1.0014,1.0011,1.0054
14.91,1.0002,1.0049,1.0013,1.0012,1.0055
14.95,1.0003,1.0051,1.0013,1.0014,1.0056
14.99,1.0003,1.0052,1.0013,1.0015,1.0057
15.03,1.0004,1.0053,1.0013,1.0017,1.0058
15.07,1.0004,1.0053,1.0013,1.0018,1.0059
15.11,1.0005,1.0054,1.0013,1.0019,1.0059
15.15,1.0005,1.0054,1.0012,1.002,1.0059
15.19,1.0005,1.0054,1.0012,1.0021,1.0059
15.23,1.0006,1.0054,1.0012,1.0022,1.0059
15.271,1.0006,1.0054,1.0012,1.0022,1.0058
15.311,1.0006,1.0053,1.0012,1.0023,1.0057
15.351,1.0007,1.0053,1.0011,1.0023,1.0056
15.391,1.0007,1.0052,1.0011,1.0024,1.0055
15.431,1.0007,1.0051,1.0011,1.0024,1.0054
15.471,1.0007,1.005,1.0011,1.0024,1.0053
15.511,1.0008,1.0049,1.001,1.0024,1.0051
15.551,1.0008,1.0047,1.001,1.0024,1.005
15.591,1.0008,1.0046,1.001,1.0024,1.0048
15.631,1.0008,1.0044,1.001,1.0024,1.0046
15.671,1.0008,1.0043,1.0009,1.0024,1.0045
15.711,1.0008,1.0041,1.0009,1.0024,1.0043
15.752,1.0009,1.004,1.0009,1.0023,1.0041
15.792,1.0009,1.0038,1.0009,1.0023,1.0039
15.832,1.0009,1.0036,1.0008,1.0023,1.0037
15.872,1.0009,1.0034,1.0008,1.0022,1.0035
15.912,1.0009,1.0033,1.0008,1.0022,1.0033
15.952,1.0009,1.0031,1.0008,1.0021,1.0031
15.992,1.0009,1.0029,1.0007,1.002,1.003
16.032,1.0009,1.0028,1.0007,1.002,1.0028
16.072,1.0009,1.0026,1.0007,1.0019,1.0026
16.112,1.0009,1.0024,1.0007,1.0018,1.0024
16.152,1.0009,1.0023,1.0006,1.0018,1.0023
16.192,1.0009,1.0021,1.0006,1.0017,1.0021
16.232,1.0009,1.002,1.0006,1.0016,1.002
16.273,1.0009,1.0019,1.0006,1.0016,1.0018
16.313,1.0009,1.0017,1.0006,1.0015,1.0017
16.353,1.0009,1.0016,1.0005,1.0014,1.0016
16.393,1.0009,1.0015,1.0005,1.0014,1.0014
