Jdi,Jdo,Jr
0.21026,0.52096,0.61199
0.21216,0.51753,0.61003
0.21424,0.51418,0.60822
0.21636,0.51086,0.60636
0.21863,0.50761,0.60465
0.22091,0.50439,0.60286
0.22334,0.50124,0.60124
0.2258,0.49811,0.59958
0.22828,0.49498,0.59789
0.23088,0.49193,0.59635
0.23346,0.48887,0.59472
0.23611,0.48585,0.59316
0.23883,0.48286,0.59167
0.24151,0.47985,0.59008
0.24426,0.47689,0.58857
0.24704,0.47393,0.58707
0.24984,0.471,0.58558
0.25268,0.46808,0.58412
0.25554,0.46518,0.58267
0.25849,0.46232,0.58125
0.26169,0.45961,0.57996
0.26508,0.457,0.57876
0.26862,0.45448,0.57765
0.27231,0.45205,0.57661
0.27612,0.44969,0.57562
0.28007,0.4474,0.5747
0.28414,0.44519,0.57386
0.28833,0.44303,0.57305
0.29261,0.44093,0.5723
0.297,0.4389,0.57161
0.30147,0.43692,0.57096
0.30603,0.43497,0.57034
0.31066,0.43307,0.56975
0.31534,0.43121,0.56921
0.32005,0.4294,0.56873
0.32489,0.42756,0.56818
0.3298,0.42582,0.56774
0.33498,0.42425,0.56746
0.34049,0.42283,0.56729
0.3462,0.4216,0.56731
0.35057,0.42076,0.56782
0.35189,0.4203,0.569
0.35343,0.41984,0.57011
0.20919,0.52599,0.61196
0.21089,0.52241,0.60996
0.21271,0.51891,0.60799
0.21466,0.5155,0.60608
0.21672,0.51214,0.60423
0.21904,0.50889,0.60269
0.2211,0.50558,0.60061
0.22343,0.50238,0.5989
0.22584,0.49922,0.59722
0.2283,0.49609,0.59557
0.23085,0.493,0.59399
0.23338,0.48991,0.59233
0.236,0.48687,0.59076
0.23865,0.48384,0.58919
0.24134,0.48084,0.58765
0.24406,0.47786,0.58612
0.24682,0.4749,0.58461
0.24961,0.47195,0.58313
0.25243,0.46903,0.58165
0.25529,0.46612,0.58019
0.25825,0.46327,0.57879
0.26145,0.46056,0.5775
0.26485,0.45798,0.57637
0.26834,0.45541,0.57517
0.272,0.45297,0.57412
0.27579,0.45059,0.57311
0.2797,0.44828,0.57217
0.28374,0.44608,0.57138
0.28787,0.4439,0.57056
0.29213,0.44175,0.56971
0.29647,0.43969,0.569
0.30088,0.43771,0.56839
0.30538,0.43575,0.56775
0.30999,0.43377,0.56707
0.31464,0.43188,0.5665
0.31935,0.43003,0.56596
0.3241,0.42821,0.56546
0.32903,0.42649,0.56504
0.3343,0.42495,0.56478
0.33977,0.42355,0.56464
