time	r	uservo	yservo	ureg	yreg	uusort	yusort
418	1	0.26849	0.96077	0.35624	0.86844	0.36389	0.87515
419	1	0.26909	0.96328	0.3558	0.87228	0.3642	0.8789
420	1	0.26957	0.96575	0.3553	0.8761	0.36442	0.88261
421	1	0.26997	0.96817	0.35474	0.87988	0.36455	0.88628
422	1	0.27029	0.97056	0.35414	0.88364	0.36459	0.88993
423	1	0.27054	0.97291	0.35351	0.88737	0.36456	0.89354
424	1	0.27073	0.97522	0.35285	0.89107	0.36445	0.89713
425	1	0.27087	0.97749	0.35215	0.89475	0.36429	0.90069
426	1	0.27097	0.97973	0.35144	0.8984	0.36408	0.90421
427	1	0.27104	0.98193	0.35071	0.90203	0.36381	0.90772
428	1	0.27107	0.9841	0.34997	0.90562	0.36351	0.91119
429	1	0.27108	0.98624	0.34922	0.9092	0.36316	0.91464
430	1	0.27107	0.98834	0.34846	0.91274	0.36279	0.91807
431	1	0.27105	0.99041	0.34769	0.91627	0.36238	0.92147
432	1	0.27102	0.99245	0.34692	0.91976	0.36195	0.92484
433	1	0.27097	0.99445	0.34615	0.92323	0.3615	0.92819
434	1	0.27092	0.99642	0.34537	0.92667	0.36104	0.93151
435	1	0.27087	0.99836	0.3446	0.93009	0.36056	0.93481
436	1	0.27082	1.0003	0.34382	0.93348	0.36006	0.93808
437	1	0.27076	1.0021	0.34305	0.93685	0.35956	0.94133
438	1	0.27071	1.004	0.34228	0.94019	0.35904	0.94455
439	1	0.27066	1.0058	0.34152	0.9435	0.35852	0.94775
440	1	0.27061	1.0076	0.34075	0.94679	0.358	0.95093
441	1	0.27056	1.0093	0.33999	0.95005	0.35747	0.95407
442	1	0.27053	1.0111	0.33924	0.95329	0.35694	0.9572
443	1	0.27049	1.0127	0.33849	0.9565	0.35641	0.9603
444	1	0.27047	1.0144	0.33775	0.95968	0.35588	0.96337
445	1	0.27045	1.016	0.33701	0.96284	0.35535	0.96642
446	1	0.27043	1.0176	0.33628	0.96597	0.35482	0.96945
447	1	0.27043	1.0192	0.33555	0.96907	0.35429	0.97244
448	1	0.27043	1.0207	0.33483	0.97214	0.35377	0.97542
449	1	0.27044	1.0222	0.33412	0.97519	0.35325	0.97836
450	1	0.27046	1.0237	0.33341	0.97822	0.35273	0.98129
451	1	0.27049	1.0251	0.33271	0.98121	0.35222	0.98418
452	1	0.27052	1.0266	0.33201	0.98418	0.35171	0.98705
453	1	0.27057	1.0279	0.33132	0.98712	0.35121	0.9899
454	1	0.27062	1.0293	0.33064	0.99003	0.35071	0.99272
455	1	0.27069	1.0306	0.32997	0.99292	0.35022	0.99551
456	1	0.27076	1.0319	0.3293	0.99578	0.34974	0.99828
457	1	0.27084	1.0332	0.32864	0.99861	0.34926	1.001
458	1	0.27093	1.0344	0.32799	1.0014	0.34878	1.0037
459	1	0.27103	1.0356	0.32735	1.0042	0.34832	1.0064
460	1	0.27114	1.0368	0.32671	1.0069	0.34786	1.0091
461	1	0.27126	1.0379	0.32608	1.0097	0.34741	1.0117
462	1	0.27139	1.039	0.32546	1.0124	0.34696	1.0143
463	1	0.27152	1.0401	0.32485	1.015	0.34652	1.0169
464	1	0.27167	1.0411	0.32424	1.0177	0.3461	1.0195
465	1	0.27183	1.0422	0.32365	1.0203	0.34567	1.022
466	1	0.27199	1.0431	0.32306	1.0228	0.34526	1.0245
467	1	0.27217	1.0441	0.32247	1.0254	0.34485	1.027
468	1	0.27236	1.045	0.3219	1.0279	0.34445	1.0294
469	1	0.27255	1.0459	0.32134	1.0304	0.34406	1.0318
470	1	0.27276	1.0468	0.32078	1.0329	0.34368	1.0342
471	1	0.27297	1.0477	0.32023	1.0353	0.34331	1.0366
472	1	0.2732	1.0485	0.3197	1.0377	0.34294	1.0389
473	1	0.27343	1.0493	0.31917	1.0401	0.34259	1.0412
474	1	0.27368	1.05	0.31864	1.0425	0.34224	1.0435
475	1	0.27393	1.0508	0.31813	1.0448	0.3419	1.0458
476	1	0.2742	1.0514	0.31763	1.0471	0.34157	1.048
477	1	0.27447	1.0521	0.31714	1.0493	0.34125	1.0502
478	1	0.27475	1.0528	0.31665	1.0516	0.34094	1.0524
479	1	0.27505	1.0534	0.31618	1.0538	0.34064	1.0545
480	1	0.27535	1.054	0.31571	1.056	0.34035	1.0566
481	1	0.27567	1.0545	0.31525	1.0581	0.34006	1.0587
482	1	0.27599	1.055	0.31481	1.0602	0.33979	1.0608
483	1	0.27633	1.0555	0.31437	1.0623	0.33953	1.0628
484	1	0.27667	1.056	0.31394	1.0644	0.33927	1.0648
485	1	0.27703	1.0564	0.31352	1.0664	0.33903	1.0668
486	1	0.27739	1.0569	0.31311	1.0684	0.33879	1.0687
487	1	0.27777	1.0572	0.31272	1.0704	0.33857	1.0706
488	1	0.27815	1.0576	0.31233	1.0723	0.33835	1.0725
489	1	0.27855	1.0579	0.31195	1.0742	0.33815	1.0744
490	1	0.27895	1.0582	0.31158	1.0761	0.33796	1.0762
491	1	0.27937	1.0585	0.31123	1.078	0.33777	1.078
492	1	0.27979	1.0587	0.31088	1.0798	0.3376	1.0797
493	1	0.28023	1.0589	0.31054	1.0816	0.33744	1.0815
494	1	0.28068	1.0591	0.31022	1.0833	0.33728	1.0832
495	1	0.28114	1.0593	0.3099	1.0851	0.33714	1.0849
496	1	0.2816	1.0594	0.3096	1.0868	0.33701	1.0865
497	1	0.28208	1.0595	0.3093	1.0884	0.33689	1.0881
498	1	0.28257	1.0596	0.30902	1.0901	0.33679	1.0897
499	1	0.28307	1.0596	0.30875	1.0917	0.33669	1.0913
500	1	0.28358	1.0597	0.30849	1.0933	0.3366	1.0928
501	1	0.2841	1.0596	0.30824	1.0948	0.33653	1.0943
