Kp	Ti	Td	beta	Jdi	Jr	Jdin	Jrn
0.42566	283.39	48.993	0.92352	1.0403	1.2375	0.69917	0.066776
0.42596	284.52	49.088	0.92848	1.0437	1.2368	0.70847	0.063172
0.42582	285.2	49.15	0.93156	1.0465	1.2363	0.71631	0.060828
0.42557	285.81	49.278	0.93339	1.0494	1.2358	0.72416	0.058491
0.42536	286.45	49.369	0.93511	1.0522	1.2354	0.73209	0.056249
0.42482	286.71	49.304	0.93694	1.0545	1.2352	0.73836	0.055276
0.4246	287.35	49.406	0.93868	1.0574	1.2347	0.7463	0.053036
0.4243	287.93	49.512	0.9406	1.0603	1.2343	0.7543	0.050956
0.42467	289.15	49.659	0.94514	1.0639	1.2336	0.76408	0.047502
0.42397	289.29	49.634	0.94603	1.0661	1.2334	0.77031	0.046664
0.42434	290.52	49.788	0.95014	1.0697	1.2327	0.78022	0.043281
0.42377	290.74	49.671	0.95195	1.072	1.2325	0.78641	0.042467
0.42322	291.97	49.856	0.95555	1.0779	1.2317	0.80267	0.038478
0.42297	292.6	49.982	0.95736	1.0809	1.2313	0.81083	0.036449
0.42274	293.25	49.987	0.96025	1.0839	1.2309	0.81904	0.034616
0.42337	294.7	50.152	0.96488	1.0876	1.2303	0.8294	0.031344
0.42235	294.59	50.155	0.9643	1.0898	1.2301	0.83549	0.030724
0.4216	297.31	50.302	0.97384	1.1019	1.2286	0.86862	0.023346
0.42124	297.89	50.359	0.97574	1.1049	1.2283	0.87702	0.021662
0.42181	300.19	50.665	0.98303	1.112	1.2273	0.8964	0.016886
0.42116	301.4	50.82	0.98672	1.1182	1.2266	0.91343	0.013571
0.42064	303.54	50.919	0.99396	1.1275	1.2256	0.93906	0.008655
0.41916	302.98	50.781	0.99216	1.1294	1.2255	0.94434	0.0083371
0.42004	304.78	51.06	0.99708	1.1338	1.225	0.95627	0.0055312
0.41937	305.15	51.009	0.99822	1.1369	1.2247	0.96499	0.0041345
0.41909	305.79	51.1	0.99883	1.1401	1.2244	0.9737	0.0027423
0.41727	307.02	51.182	0.99964	1.1497	1.2238	1	0
